,b3C9s_j0v1yls8,b3C9s_l4z6od7y,g7R2j_e0v1yls8,g7R2j_j1g8gd3v,k4W1c_h5r6nux7,m3D1v_r1d7fr3l,m3D1v_t0v5ts9h,m3D1v_v3d9is1x,r8S3g_l0p5viby,r8S3g_n0m9rsw4,s8Y2f_v4x8by9j,t5V9e_e1k6cixp,y9W5d_c0w4mj5h,y9W5d_e2j7p95s,y9W5d_p8g6dgtv
01d8aa21ef476b66c573,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
03aa0b20dd4af1888eef,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
0a8736f6520cea837d94,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
0maggb1hf886m5u6p2vr,0.75,0.5,0.9166666666666666,1.0,0.0,0.4074074074074074,1.0,1.0,0.5,0.25,0.0,0.8,0.7916666666666666,1.0,0.5
10de703c06bf9d873d68,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
18cdd44af62c6935e7a0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
1b25734414fcc7466153,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
1e25b47eaef62694a236,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
1mp9yiw6rkrr3846047g,1.0,0.6666666666666666,0.5,1.0,0.0,0.4444444444444444,1.0,0.0,0.5,0.25,0.0,0.4,0.875,1.0,0.5
22ae866c664a147f9971,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
360820d6620d17d1b48b,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
37ae91c472189108a737,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
3c89c7f1db26ae691db8,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
3d63ba961a5f3a60616a,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
47eeab842793b09300c3,1.0,1.0,0.75,0.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
47vclaej1xmb0rc8kgka,1.0,1.0,0.5833333333333334,1.0,0.0,0.25925925925925924,1.0,1.0,0.0,1.0,0.0,0.7,0.5833333333333334,1.0,1.0
488934d01a504bc212b4,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
545eb6c8154273344669,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
54826f4abf592713d585,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
57709f904b1cc9ec60b1,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
580e98185da72b5f34cd,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
5d89810b20079366fcc2,1.0,1.0,0.75,0.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
5gs9643ghg39gpkgi3e5,1.0,0.5,0.9166666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.25,0.0,0.7,0.625,0.3333333333333333,1.0
63eef37311aaac915a45,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
64d1d58d40bca568347c,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
6e7d56f652020f046204,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
6o68qswzkvrrtbiz6bzr,1.0,1.0,0.75,1.0,0.0,0.4444444444444444,1.0,1.0,0.0,1.0,0.0,0.8,0.7083333333333334,0.3333333333333333,1.0
7086b49d3d6c2cf79c1a,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
75c2677c8d156032e303,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
79cvflltnemb9zpg6pgl,0.75,0.5,1.0,0.0,0.0,0.5185185185185185,1.0,1.0,0.5,0.25,0.0,0.4,0.5,1.0,0.6666666666666666
79ea7a2f63285f2fe26b,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
81c4c46f19cb21d54bbb,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
86215294b080f19af22f,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
876aca2b8ce1958ea773,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
8777bd09f180d330b147,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
8979427badebb9e2bd10,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
8b1fbc97391699e46cef,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
8b6d1125760bd3939b6e,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
8cvzwcc62ql4rqj0pyzl,0.75,1.0,0.4166666666666667,1.0,0.0,0.5555555555555556,1.0,0.5,0.5,0.75,0.0,0.9,0.625,1.0,0.8333333333333334
8d422b817027d7721870,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
91ybnlkli8x332l13rrk,1.0,0.3333333333333333,0.75,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,0.5,0.0,0.5,0.0,0.8,0.7083333333333334,0.3333333333333333,0.8333333333333334
9417c1b4c24e428984bc,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
98e10f84d94623f8b39e,1.0,0.5,0.4166666666666667,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,0.9,0.875,1.0,1.0
99d6b8a1cc0020112951,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
9ea29e4a747ea4a7c70a,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
9wax6sfj9cuqbbxc95om,1.0,0.5,0.6666666666666666,0.0,0.0,0.4444444444444444,0.0,0.5,0.0,0.75,0.0,1.0,0.5833333333333334,1.0,0.3333333333333333
a1fa76b5d99a411d6649,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
a8eea517e36b20757b2e,1.0,1.0,0.25,0.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,0.75,1.0,1.0
ao2x473zwn7k7a6gpfr9,1.0,0.0,1.0,1.0,0.0,0.5925925925925926,1.0,1.0,0.0,0.75,0.0,0.7,0.7083333333333334,1.0,0.3333333333333333
b345ecad87a7fbac77ce,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
b79c2d9d8148403a3720,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
bab3d23935ae4f8e798c,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
bca2be7a89b9b36b45cc,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
be503fccbf0ae5532639,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
c00c91256ab1777d0dbc,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
c57c5ca2df494f27ca64,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
cac3f85073c947532796,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
cd6355bf939a47577f6d,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
ce1a32f22b91f4d81015,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
cnkddx6ofjqd7ueylz0e,1.0,0.5,0.75,1.0,0.0,0.48148148148148145,1.0,1.0,0.5,0.5,0.0,0.6,0.5416666666666666,1.0,1.0
cuwakm24vlp785ky5w71,0.5,1.0,0.6666666666666666,1.0,0.0,0.4444444444444444,1.0,0.16666666666666666,0.5,0.5,0.0,0.6,0.6666666666666666,1.0,0.16666666666666666
d0a933a514028d777578,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
d2403aa287eb869a170a,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
dc83f9577ae72447a7b1,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e23ada44d3eac9b465d2,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e324cc9cb52a2b3cb9cb,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e37bbe9fe37f92b785d9,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e716574233e87591ff19,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
e89cdaa3f159a0d3f55e,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
exj3a7hd6gwihbowgm3w,0.5,1.0,0.9166666666666666,0.0,0.0,0.2962962962962963,0.0,0.0,0.0,0.25,0.0,1.0,0.5,0.0,0.5
f058870b1bc33e288e82,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
f06c3ddb1a98713eeb32,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
fb4411db1aac3cd2544b,1.0,0.5,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
ff59855075a6bc39d62b,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,1.0,0.5,1.0,0.0,1.0,1.0,1.0,1.0
fvurnsqlgyr9zbd6msqs,1.0,0.5,0.6666666666666666,0.0,0.0,0.37037037037037035,1.0,0.5,0.5,0.5,0.0,0.3,0.5416666666666666,0.0,0.5
i21qi5qdsjqcch2xvdd5,1.0,0.5,0.5,0.0,0.0,0.5555555555555556,0.0,0.8333333333333334,0.0,0.5,0.0,0.5,0.9583333333333334,1.0,0.5
ifj584ryrjv639n4nnsu,0.5,0.5,0.5833333333333334,1.0,0.0,0.3333333333333333,1.0,1.0,0.5,0.5,0.0,0.8,0.75,1.0,0.5
isa355t9q5rut5fm8aml,0.5,1.0,0.5833333333333334,1.0,0.0,0.1111111111111111,1.0,0.3333333333333333,0.5,0.75,0.0,0.9,0.875,1.0,0.3333333333333333
jwdjcrxdn0um79f0rjvw,1.0,1.0,0.9166666666666666,1.0,0.0,0.4074074074074074,1.0,0.5,0.0,0.75,0.0,0.7,0.625,1.0,1.0
k4usquerebza4uy0i57h,0.5,0.5,0.75,1.0,0.0,0.18518518518518517,1.0,1.0,0.5,0.0,0.0,0.3,0.625,1.0,0.8333333333333334
lzvutqpj9ggc0nwwsxcv,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0,0.4074074074074074,1.0,0.6666666666666666,0.0,0.0,0.0,0.7,0.4166666666666667,1.0,0.5
o5lo8q4tb8yt0v8imkw4,1.0,0.8333333333333334,0.75,1.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.0,0.0,0.6,0.5,1.0,1.0
oit2xadfbpuveswzx4pf,1.0,0.5,0.5,1.0,0.0,0.25925925925925924,0.6666666666666666,0.0,0.0,0.75,0.0,0.4,0.875,1.0,0.5
oppl3ojvw61dvd5yw1wl,1.0,0.5,0.75,0.0,0.0,0.3333333333333333,1.0,0.5,0.5,0.5,0.0,0.7,0.75,1.0,1.0
pr6b1twg5sgsrzek6adi,1.0,0.3333333333333333,0.75,1.0,0.0,0.2962962962962963,1.0,1.0,0.0,0.5,0.0,0.5,0.7083333333333334,1.0,0.0
qw1seyo5nrhlm8vby58w,1.0,0.3333333333333333,0.5,1.0,0.0,0.2962962962962963,1.0,0.5,0.5,0.25,0.0,0.4,0.7083333333333334,1.0,0.8333333333333334
qz6jjynwbd3szlp0rj04,0.0,1.0,0.16666666666666666,0.0,0.0,0.5555555555555556,1.0,0.0,0.5,0.75,0.0,0.7,0.7083333333333334,0.3333333333333333,1.0
s0vfgmhobw9jq6al8iww,0.0,0.3333333333333333,0.9166666666666666,0.0,0.0,0.2222222222222222,1.0,0.0,0.0,0.5,0.0,0.7,0.7916666666666666,0.6666666666666666,1.0
styld7k1gge5cvjria5b,1.0,0.5,0.5833333333333334,0.6666666666666666,0.0,0.3333333333333333,0.0,1.0,0.5,1.0,0.0,0.5,0.7916666666666666,0.0,0.5
t3wo8xb4rq94n3fpfk35,0.5,1.0,0.75,0.0,0.0,0.3333333333333333,1.0,0.5,0.0,0.5,0.0,1.0,0.75,1.0,1.0
uvh2zil455wi0dcdan51,1.0,1.0,0.4166666666666667,1.0,0.0,0.5925925925925926,1.0,0.5,0.5,0.25,0.0,0.7,0.7083333333333334,1.0,0.3333333333333333
vhlntoniujqiclub2juy,1.0,0.0,0.5833333333333334,1.0,0.0,0.5555555555555556,0.0,0.0,0.5,0.5,0.0,0.5,0.625,1.0,1.0
wwh529n48kyjq1xe9h46,1.0,0.5,0.8333333333333334,1.0,0.0,0.3333333333333333,0.6666666666666666,0.5,0.0,1.0,0.0,0.5,0.5416666666666666,0.3333333333333333,0.5
xh8a7nmtz192pknhec33,0.0,1.0,0.3333333333333333,0.0,0.0,0.4444444444444444,0.6666666666666666,0.5,0.0,0.75,0.0,0.8,0.5,0.0,0.5
zeuj2ypen39p38d4m3oj,0.5,1.0,0.4166666666666667,0.0,0.0,0.3333333333333333,1.0,1.0,0.5,0.5,0.0,0.6,0.3333333333333333,0.0,0.6666666666666666
zlaig56ve06t7jruk2mr,1.0,1.0,0.5,1.0,0.0,0.5185185185185185,0.0,0.0,0.5,0.5,0.0,1.0,0.9166666666666666,0.6666666666666666,1.0
